gmd,channel,bunch,aligned_trains,sample_n,finite_n,finite_fraction,min,p01,median,p99,max
hall,2,4,4330,4330,4330,1.0,-0.12912145256996155,0.017798673696815967,0.050879936665296555,0.10906596824526787,0.20031654834747314
hall,2,5,4330,4330,4330,1.0,-0.5519421696662903,0.021448923628777265,0.050846146419644356,0.1080051074922085,0.3581775426864624
hall,2,6,4330,4330,4330,1.0,-0.029255270957946777,0.020963053032755852,0.05066961236298084,0.10878461450338364,0.4436536133289337
hall,2,7,4330,4330,4330,1.0,-0.03201185166835785,0.01946435233578086,0.050574105232954025,0.10878770984709263,0.2329116016626358
hall,2,8,4330,4330,4330,1.0,-0.07943736016750336,0.02136041535064578,0.050622375681996346,0.10395150907337666,0.34752601385116577
hall,2,9,4330,4330,4330,1.0,-0.053197961300611496,0.019161627404391767,0.05092374235391617,0.10521272458136083,0.22971494495868683
hall,2,10,4330,4330,4330,1.0,-0.07322895526885986,0.021421443969011307,0.05080706253647804,0.11019889160990716,0.6032982468605042
hall,2,11,4330,4330,4330,1.0,-0.3926345407962799,0.01964610066264868,0.05063199810683727,0.10906310126185419,0.20269522070884705
hall,2,12,4330,4330,4330,1.0,-0.15887543559074402,0.015911170970648526,0.05080609396100044,0.10708089113235476,0.24538761377334595
hall,2,13,4330,4330,4330,1.0,-0.06100932136178017,0.021448877472430468,0.05040288530290127,0.10557448163628581,0.2674117684364319
hall,2,14,4330,4330,4330,1.0,-0.10951221734285355,0.01832994308322668,0.05062271095812321,0.10633037813007833,0.18848760426044464
hall,2,15,4330,4330,4330,1.0,-0.1568627655506134,0.02031849941238761,0.050243280827999115,0.1006651806086302,0.43485400080680847
hall,2,16,4330,4330,4330,1.0,-0.09316489100456238,0.017211520280689,0.050015922635793686,0.10566856645047665,0.3893079161643982
hall,2,17,4330,4330,4330,1.0,-0.03656085580587387,0.02051474681124091,0.05055570788681507,0.1011815107613802,0.5661481618881226
hall,2,18,4330,4330,4330,1.0,-0.052298273891210556,0.019463330172002316,0.050088655203580856,0.10510234139859677,0.3456014096736908
hall,2,19,4330,4330,4330,1.0,-0.04755784943699837,0.019604780320078133,0.05072155222296715,0.1091521529108286,0.5270314812660217
hall,2,20,4330,4330,4330,1.0,-0.3272864520549774,0.019078913051635026,0.050844643265008926,0.10489519052207474,0.17392165958881378
hall,2,21,4330,4330,4330,1.0,-0.1842711865901947,0.017242541164159776,0.050781385973095894,0.10638513818383218,0.49974316358566284
hall,2,22,4330,4330,4330,1.0,-0.20138989388942719,0.02091916536912322,0.05052383430302143,0.10887889377772811,0.20780324935913086
hall,2,23,4330,4330,4330,1.0,-0.0894925594329834,0.0165066017024219,0.05112316459417343,0.10628355443477631,0.3185281753540039
hall,2,24,4330,4330,4330,1.0,-0.2547292113304138,0.01910206289961934,0.05088609643280506,0.10555836699903014,0.28334301710128784
hall,2,25,4330,4330,4330,1.0,-0.04843105748295784,0.017519215941429137,0.04984421655535698,0.10890154920518398,0.3659118115901947
hall,2,26,4330,4330,4330,1.0,-0.061552744358778,0.0179705342464149,0.050131216645240784,0.10320495635271075,0.7359826564788818
hall,2,27,4330,4330,4330,1.0,-0.08884607255458832,0.015070823803544044,0.05026104487478733,0.10167600445449354,0.26420459151268005
hall,2,28,4330,4330,4330,1.0,-0.07795197516679764,0.01586897959932685,0.04940660297870636,0.10601847834885121,0.32523229718208313
hall,2,29,4330,4330,4330,1.0,-0.07774476706981659,0.018093711007386444,0.04941853694617748,0.104745442122221,0.268525093793869
hall,3,0,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,3,1,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,3,2,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,3,3,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,3,4,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,3,5,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,3,6,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,3,7,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,3,8,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,3,9,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,3,10,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,3,11,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,3,12,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,3,13,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,3,14,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,3,15,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,3,16,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,3,17,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,3,18,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
